Muestra_ID,Especie,Tratamiento,Replica,Gen_marcador,Longitud_gen_bp,GC_pct,Cobertura_x,Expresion_relativa,Temperatura_C,Sitio
M049,Lactobacillus plantarum,Control,1,groEL,1637,44.0,,2.77,36.6,Laboratorio_A
M050,Lactobacillus plantarum,Control,2,groEL,1625,44.9,112.2,2.16,36.6,Laboratorio_A
M051,Lactobacillus plantarum,Control,3,groEL,1653,44.5,102.5,1.4,36.8,
M052,Lactobacillus plantarum,Control,4,groEL,1705,45.9,54.8,1.62,37.2,Laboratorio_C
M053,Lactobacillus plantarum,Calor,1,groEL,1612,,102.4,3.48,42.3,Laboratorio_C
M054,Lactobacillus plantarum,Calor,2,groEL,1668,44.0,98.5,3.07,42.2,Laboratorio_A
M055,Lactobacillus plantarum,Calor,3,groEL,1617,45.9,72.4,3.73,42.4,Laboratorio_C
M056,Lactobacillus plantarum,Calor,4,groEL,1642,44.7,98.2,4.89,42.3,Laboratorio_C
M057,Lactobacillus plantarum,Frio,1,groEL,1615,46.4,101.6,1.68,30.4,Laboratorio_A
M058,Lactobacillus plantarum,Frio,2,groEL,1677,43.3,111.0,,30.0,Laboratorio_C
M059,Lactobacillus plantarum,Frio,3,groEL,1647,44.6,97.1,1.53,30.3,Laboratorio_A
M060,Lactobacillus plantarum,Frio,4,groEL,1581,43.9,88.1,1.2,30.3,Laboratorio_B
M011,Escherichia coli,Frio,3,rpoB,4008,50.8,80.3,2.36,30.0,Laboratorio_B
M035,Pseudomonas aeruginosa,Frio,3,recA,1031,66.0,95.8,1.95,30.3,Laboratorio_A
